Report Symbol,MT5 Symbol,Time Mode,Hour Delta To MT5,Sample Count,Matched Count,Inside M1 Range Count,Inside M1 Range Ratio,Avg Distance To M1 Range,Median Distance To M1 Range,Max Distance To M1 Range
XAUUSD,XAUUSD,report_is_GMT,0,5,1,1,1.0,0.0,0.0,0.0
XAUUSD,XAUUSD,report_is_GMT+3,-3,5,1,0,0.0,38.88999999999942,38.88999999999942,38.88999999999942
EURUSD,EURUSD,report_is_GMT,0,2,2,1,0.5,9.499999999995623e-05,9.499999999995623e-05,0.00018999999999991246
EURUSD,EURUSD,report_is_GMT+3,-3,2,2,0,0.0,0.001514999999999933,0.001514999999999933,0.0020599999999999508
GBPUSD,GBPUSD,report_is_GMT,0,2,2,1,0.5,4.0000000000040004e-05,4.0000000000040004e-05,8.000000000008001e-05
GBPUSD,GBPUSD,report_is_GMT+3,-3,2,2,0,0.0,0.0006899999999999684,0.0006899999999999684,0.0007399999999999629
USOIL,USOILRoll,report_is_GMT,0,1,0,0,,,,
USOIL,USOILRoll,report_is_GMT+3,-3,1,0,0,,,,
XAGUSD,XAGUSD,report_is_GMT,0,1,0,0,,,,
XAGUSD,XAGUSD,report_is_GMT+3,-3,1,0,0,,,,
