Ticket,Open Time,Close Time,Type,Volume,Item,Open Price,Close Price,Commission,Taxes,Swap,Profit,S/L,T/P,Comment,Holding Seconds,Account Currency,Display Currency,Money Scale,Is Cent Account,Money Unit Note,MT5 Symbol,Time Mode,M1 Time,M1 Open,M1 High,M1 Low,M1 Close,Open Price Distance To M1 Range
613812806.0,2024-04-23 13:25:57,2024-04-23 13:39:27,buy,0.4,XAUUSD,2310.98,2316.0,0.0,0.0,0.0,200.8,,2316.0,,810.0,USD,USD,1.0,False,,XAUUSD,report_is_GMT,,,,,,
620564869.0,2024-10-16 13:21:02,2024-10-16 13:44:41,buy,0.1,XAUUSD,2680.77,2683.37,0.0,0.0,0.0,26.0,,2685.8,,1419.0,USD,USD,1.0,False,,XAUUSD,report_is_GMT,,,,,,
627891490.0,2025-03-17 13:04:20,2025-03-17 13:12:00,sell,1.0,XAUUSD,2987.1,2990.53,0.0,0.0,0.0,-343.0,,2982.0,,460.0,USD,USD,1.0,False,,XAUUSD,report_is_GMT,,,,,,
699806338.0,2026-03-24 01:22:51,2026-03-24 01:22:55,buy,1.0,XAUUSD,4359.07,4360.15,0.0,0.0,0.0,108.0,,,,4.0,USD,USD,1.0,False,,XAUUSD,report_is_GMT,,,,,,
731705528.0,2026-06-08 12:05:56,2026-06-08 14:59:41,buy,1.0,XAUUSD,4329.7,4330.01,0.0,0.0,0.0,31.0,,4330.0,,10425.0,USD,USD,1.0,False,,XAUUSD,report_is_GMT,2026-06-08 12:05:00,4330.53,4332.1,4328.39,4328.87,0.0
707198076.0,2026-04-22 15:04:54,2026-04-22 15:41:54,sell,1.0,EURUSD,1.17151,1.17207,0.0,0.0,0.0,-56.0,,,,2220.0,USD,USD,1.0,False,,EURUSD,report_is_GMT,2026-04-22 15:04:00,1.17161,1.17166,1.17145,1.17158,0.0
707215944.0,2026-04-22 15:45:43,2026-04-23 12:36:18,buy,1.0,EURUSD,1.17153,1.16926,0.0,0.0,-25.06,-227.0,,,,75035.0,USD,USD,1.0,False,,EURUSD,report_is_GMT,2026-04-22 15:45:00,1.17127,1.17134,1.17118,1.17126,0.00018999999999991246
707198058.0,2026-04-22 15:04:42,2026-04-22 15:41:54,buy,1.0,GBPUSD,1.34979,1.35035,0.0,0.0,0.0,56.0,,,,2232.0,USD,USD,1.0,False,,GBPUSD,report_is_GMT,2026-04-22 15:04:00,1.3496000000000001,1.34971,1.34948,1.3497,8.000000000008001e-05
707215978.0,2026-04-22 15:45:49,2026-04-23 12:36:18,sell,1.0,GBPUSD,1.34995,1.35008,0.0,0.0,-6.98,-13.0,,,,75029.0,USD,USD,1.0,False,,GBPUSD,report_is_GMT,2026-04-22 15:45:00,1.34994,1.35,1.34991,1.34996,0.0
620549672.0,2024-10-16 09:31:00,2024-10-16 10:11:34,buy,0.01,USOIL,70.773,70.368,0.0,0.0,0.0,-4.05,,70.773,,2434.0,USD,USD,1.0,False,,USOILRoll,report_is_GMT,,,,,,
615040641.0,2024-05-28 07:16:46,2024-05-28 07:57:59,sell,0.01,XAGUSD,31.418,31.521,0.0,0.0,0.0,-5.15,,31.418,,2473.0,USD,USD,1.0,False,,XAGUSD,report_is_GMT,,,,,,
